time,node,src,dst,hopcount,interface
4.613522,16,10.1.1.29,10.1.1.12,2,1
4.613522,16,10.1.1.29,10.1.1.12,2,1
4.615467,13,10.1.1.14,10.1.1.6,1,1
4.620663,10,10.1.1.8,10.1.1.30,2,1
4.620663,10,10.1.1.8,10.1.1.30,3,1
4.625494,37,10.1.1.12,10.1.1.29,1,1
4.625494,37,10.1.1.29,10.1.1.12,4,1
4.625495,38,10.1.1.12,10.1.1.29,2,1
4.625495,38,10.1.1.29,10.1.1.12,4,1
4.625495,31,10.1.1.12,10.1.1.29,1,1
4.625495,31,10.1.1.29,10.1.1.12,4,1
4.625495,39,10.1.1.12,10.1.1.29,2,1
4.625495,39,10.1.1.29,10.1.1.12,4,1
4.630249,10,10.1.1.8,10.1.1.30,3,1
4.630249,10,10.1.1.8,10.1.1.30,4,1
4.630789,10,10.1.1.11,10.1.1.27,1,1
4.633309,10,10.1.1.8,10.1.1.30,2,1
4.633309,10,10.1.1.8,10.1.1.30,3,1
4.633868,16,10.1.1.17,10.1.1.25,1,1
4.651259,7,10.1.1.8,10.1.1.30,4,1
4.654098,7,10.1.1.8,10.1.1.30,3,1
4.666591,26,10.1.1.27,10.1.1.11,1,1
4.670230,26,10.1.1.27,10.1.1.40,3,1
4.684211,7,10.1.1.8,10.1.1.30,5,1
4.693844,16,10.1.1.30,10.1.1.8,5,1
4.693844,16,10.1.1.30,10.1.1.8,6,1
4.695090,28,10.1.1.29,10.1.1.39,2,1
4.695650,37,10.1.1.29,10.1.1.39,1,1
4.695650,37,10.1.1.29,10.1.1.39,2,1
4.696590,1,10.1.1.2,10.1.1.17,1,1
4.696689,38,10.1.1.39,10.1.1.2,3,1
4.697468,38,10.1.1.39,10.1.1.29,2,1
4.697749,1,10.1.1.2,10.1.1.8,0,1
4.698297,14,10.1.1.33,10.1.1.27,3,1
4.698297,14,10.1.1.33,10.1.1.27,4,1
4.698634,18,10.1.1.11,10.1.1.24,1,1
4.698634,18,10.1.1.11,10.1.1.24,2,1
4.701449,7,10.1.1.1,10.1.1.40,1,1
4.701449,7,10.1.1.1,10.1.1.40,2,1
4.711343,38,10.1.1.39,10.1.1.29,1,1
4.715465,32,10.1.1.8,10.1.1.33,0,1
4.716721,28,10.1.1.29,10.1.1.39,1,1
4.720658,7,10.1.1.2,10.1.1.39,2,1
4.720658,7,10.1.1.2,10.1.1.39,2,1
4.729364,18,10.1.1.11,10.1.1.24,1,1
4.729364,18,10.1.1.11,10.1.1.24,2,1
4.731105,23,10.1.1.24,10.1.1.11,3,1
4.737924,32,10.1.1.21,10.1.1.33,0,1
4.744009,8,10.1.1.4,10.1.1.37,1,1
4.744009,8,10.1.1.4,10.1.1.37,2,0
4.744009,8,10.1.1.4,10.1.1.37,2,0
4.747078,36,10.1.1.37,10.1.1.4,2,1
4.747963,28,10.1.1.29,10.1.1.12,3,1
4.754618,30,10.1.1.39,10.1.1.29,1,1
4.754618,30,10.1.1.39,10.1.1.29,2,1
4.756619,12,10.1.1.7,10.1.1.34,1,1
4.756619,12,10.1.1.34,10.1.1.7,1,1
4.756743,28,10.1.1.29,10.1.1.39,2,1
4.759566,33,10.1.1.7,10.1.1.34,0,1
4.763769,10,10.1.1.11,10.1.1.24,2,1
4.765275,32,10.1.1.5,10.1.1.36,1,1
4.765275,32,10.1.1.5,10.1.1.36,2,1
4.772430,10,10.1.1.11,10.1.1.24,2,1
4.773889,24,10.1.1.19,10.1.1.25,0,1
4.774316,18,10.1.1.19,10.1.1.25,0,1
4.774875,10,10.1.1.11,10.1.1.26,1,1
4.776681,10,10.1.1.11,10.1.1.30,1,1
4.786604,17,10.1.1.18,10.1.1.29,1,1
4.787344,16,10.1.1.17,10.1.1.29,2,1
4.789010,17,10.1.1.14,10.1.1.27,3,1
4.789010,17,10.1.1.14,10.1.1.27,4,1
4.790142,11,10.1.1.12,10.1.1.29,2,1
4.793616,11,10.1.1.11,10.1.1.16,1,1
4.793616,11,10.1.1.16,10.1.1.11,1,1
4.793616,2,10.1.1.11,10.1.1.16,1,1
4.793616,2,10.1.1.16,10.1.1.11,1,1
4.793616,15,10.1.1.11,10.1.1.16,0,1
4.793616,24,10.1.1.11,10.1.1.16,1,1
4.793616,24,10.1.1.16,10.1.1.11,1,1
4.795463,24,10.1.1.18,10.1.1.16,1,1
4.795463,24,10.1.1.16,10.1.1.18,1,1
4.795463,11,10.1.1.18,10.1.1.16,1,1
4.795463,11,10.1.1.16,10.1.1.18,1,1
4.795463,15,10.1.1.18,10.1.1.16,0,1
4.795463,2,10.1.1.18,10.1.1.16,1,1
4.795463,2,10.1.1.16,10.1.1.18,1,1
4.796755,32,10.1.1.18,10.1.1.31,1,1
4.796755,32,10.1.1.18,10.1.1.31,2,1
4.804467,38,10.1.1.39,10.1.1.29,2,1
4.813071,17,10.1.1.18,10.1.1.16,1,1
4.823169,4,10.1.1.19,10.1.1.22,1,1
4.823169,4,10.1.1.19,10.1.1.22,2,1
4.824292,10,10.1.1.11,10.1.1.30,2,1
4.825491,18,10.1.1.18,10.1.1.25,1,1
4.825491,18,10.1.1.25,10.1.1.18,1,1
4.825491,24,10.1.1.18,10.1.1.25,0,1
4.825796,17,10.1.1.18,10.1.1.25,1,1
4.827562,17,10.1.1.18,10.1.1.25,0,1
4.829129,10,10.1.1.11,10.1.1.30,2,1
4.834912,24,10.1.1.25,10.1.1.18,1,1
4.839834,36,10.1.1.12,10.1.1.29,1,1
4.839834,36,10.1.1.12,10.1.1.29,2,1
4.842895,28,10.1.1.29,10.1.1.12,4,1
4.845523,27,10.1.1.39,10.1.1.2,5,1
4.845523,27,10.1.1.39,10.1.1.2,6,1
4.846102,11,10.1.1.12,10.1.1.29,2,1
4.862267,38,10.1.1.39,10.1.1.2,2,1
4.862887,28,10.1.1.29,10.1.1.12,2,1
4.863427,10,10.1.1.12,10.1.1.29,1,1
4.863427,10,10.1.1.12,10.1.1.29,2,1
4.863945,11,10.1.1.12,10.1.1.29,2,1
4.864862,38,10.1.1.39,10.1.1.29,4,1
4.867859,11,10.1.1.1,10.1.1.40,1,1
4.867859,11,10.1.1.1,10.1.1.40,2,0
4.867859,11,10.1.1.1,10.1.1.40,2,0
4.869684,38,10.1.1.39,10.1.1.2,2,1
4.870223,36,10.1.1.12,10.1.1.29,2,1
4.870223,36,10.1.1.12,10.1.1.29,3,1
4.873682,37,10.1.1.29,10.1.1.12,4,1
4.873682,37,10.1.1.29,10.1.1.12,5,1
4.877842,38,10.1.1.39,10.1.1.2,2,1
4.879044,15,10.1.1.16,10.1.1.4,3,1
4.885527,15,10.1.1.16,10.1.1.11,1,1
4.892486,11,10.1.1.7,10.1.1.34,1,1
4.892486,11,10.1.1.34,10.1.1.7,2,1
4.894050,15,10.1.1.16,10.1.1.18,1,1
4.898732,29,10.1.1.30,10.1.1.8,6,1
4.904413,35,10.1.1.36,10.1.1.5,2,1
4.909022,30,10.1.1.2,10.1.1.39,0,1
