time,context,src,dst,size,reason,interface
24.252450,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
24.307366,/NodeList/20/$ns3::Ipv4L3Protocol/Drop,10.1.1.6,10.1.1.35,520,2,1
24.502450,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
24.574132,/NodeList/6/$ns3::Ipv4L3Protocol/Drop,10.1.1.6,10.1.1.35,520,2,1
24.615048,/NodeList/8/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.32,10,1,1
24.756230,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
25.008898,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
25.268646,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
25.505997,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
25.777692,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
25.875818,/NodeList/24/$ns3::Ipv4L3Protocol/Drop,10.1.1.12,10.1.1.38,10,1,1
25.894357,/NodeList/32/$ns3::Ipv4L3Protocol/Drop,10.1.1.31,10.1.1.38,10,1,1
25.990297,/NodeList/24/$ns3::Ipv4L3Protocol/Drop,10.1.1.20,10.1.1.14,30,1,1
26.034405,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
26.093076,/NodeList/28/$ns3::Ipv4L3Protocol/Drop,10.1.1.18,10.1.1.14,30,1,1
26.096241,/NodeList/14/$ns3::Ipv4L3Protocol/Drop,10.1.1.1,10.1.1.40,520,2,1
26.255462,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
26.363103,/NodeList/5/$ns3::Ipv4L3Protocol/Drop,10.1.1.16,10.1.1.25,520,2,1
26.503593,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
26.515235,/NodeList/5/$ns3::Ipv4L3Protocol/Drop,10.1.1.16,10.1.1.25,520,2,1
26.792889,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
27.020859,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
27.262333,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
27.509433,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
27.787627,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
28.087562,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
28.132762,/NodeList/10/$ns3::Ipv4L3Protocol/Drop,10.1.1.16,10.1.1.30,10,1,1
28.296532,/NodeList/32/$ns3::Ipv4L3Protocol/Drop,10.1.1.39,10.1.1.38,10,1,1
28.323996,/NodeList/25/$ns3::Ipv4L3Protocol/Drop,10.1.1.28,10.1.1.34,10,1,1
28.382745,/NodeList/21/$ns3::Ipv4L3Protocol/Drop,10.1.1.37,10.1.1.29,10,1,1
29.048719,/NodeList/14/$ns3::Ipv4L3Protocol/Drop,10.1.1.11,10.1.1.36,10,1,1
29.828039,/NodeList/14/$ns3::Ipv4L3Protocol/Drop,10.1.1.19,10.1.1.29,10,1,1
29.884908,/NodeList/10/$ns3::Ipv4L3Protocol/Drop,10.1.1.15,10.1.1.23,10,1,1
30.734129,/NodeList/22/$ns3::Ipv4L3Protocol/Drop,10.1.1.22,10.1.1.5,28,1,1
32.140097,/NodeList/15/$ns3::Ipv4L3Protocol/Drop,10.1.1.28,10.1.1.5,28,1,1
34.113295,/NodeList/2/$ns3::Ipv4L3Protocol/Drop,10.1.1.7,10.1.1.2,30,1,1
34.178163,/NodeList/10/$ns3::Ipv4L3Protocol/Drop,10.1.1.7,10.1.1.1,10,1,1
34.211065,/NodeList/24/$ns3::Ipv4L3Protocol/Drop,10.1.1.34,10.1.1.36,10,1,1
34.244614,/NodeList/27/$ns3::Ipv4L3Protocol/Drop,10.1.1.7,10.1.1.10,10,1,1
