time,node,src,dst,hopcount,interface
5.721258,26,10.1.1.26,10.1.1.29,2,1
5.721258,25,10.1.1.26,10.1.1.29,2,1
5.721258,18,10.1.1.26,10.1.1.29,2,1
5.721258,29,10.1.1.26,10.1.1.29,2,1
5.721259,24,10.1.1.26,10.1.1.29,2,1
5.726381,28,10.1.1.26,10.1.1.20,1,1
5.726381,23,10.1.1.26,10.1.1.20,1,1
5.726382,22,10.1.1.26,10.1.1.20,1,1
5.726382,17,10.1.1.26,10.1.1.20,1,1
5.726382,21,10.1.1.26,10.1.1.20,1,1
5.726382,27,10.1.1.26,10.1.1.20,1,1
5.726382,16,10.1.1.26,10.1.1.20,1,1
5.726382,15,10.1.1.26,10.1.1.20,1,1
5.726382,11,10.1.1.26,10.1.1.20,1,1
5.726382,20,10.1.1.26,10.1.1.20,1,1
5.726382,10,10.1.1.26,10.1.1.20,1,1
5.726382,26,10.1.1.26,10.1.1.20,1,1
5.726382,9,10.1.1.26,10.1.1.20,1,1
5.726382,4,10.1.1.26,10.1.1.20,1,1
5.726382,5,10.1.1.26,10.1.1.20,1,1
5.729425,23,10.1.1.26,10.1.1.20,1,1
5.729425,28,10.1.1.26,10.1.1.20,1,1
5.729425,29,10.1.1.26,10.1.1.20,1,1
5.729425,17,10.1.1.26,10.1.1.20,1,1
5.729425,27,10.1.1.26,10.1.1.20,1,1
5.729426,11,10.1.1.26,10.1.1.20,1,1
5.729426,26,10.1.1.26,10.1.1.20,1,1
5.753000,12,10.1.1.13,10.1.1.18,0,1
5.753946,18,10.1.1.13,10.1.1.18,0,1
5.753946,7,10.1.1.13,10.1.1.18,0,1
5.753946,6,10.1.1.13,10.1.1.18,0,1
5.753947,0,10.1.1.13,10.1.1.18,0,1
5.753947,24,10.1.1.13,10.1.1.18,0,1
5.753947,1,10.1.1.13,10.1.1.18,0,1
5.756000,0,10.1.1.1,10.1.1.30,0,1
5.756000,1,10.1.1.2,10.1.1.29,0,1
5.757947,1,10.1.1.13,10.1.1.18,1,1
5.760000,2,10.1.1.3,10.1.1.28,0,1
5.766308,19,10.1.1.26,10.1.1.20,1,1
5.766308,7,10.1.1.26,10.1.1.20,1,1
5.766308,12,10.1.1.26,10.1.1.20,1,1
5.766308,18,10.1.1.26,10.1.1.20,1,1
5.766308,20,10.1.1.26,10.1.1.20,1,1
5.766308,6,10.1.1.26,10.1.1.20,1,1
5.766308,25,10.1.1.26,10.1.1.20,1,1
5.766308,24,10.1.1.26,10.1.1.20,1,1
5.766308,26,10.1.1.26,10.1.1.20,1,1
5.766308,1,10.1.1.26,10.1.1.20,1,1
5.766308,27,10.1.1.26,10.1.1.20,1,1
5.766308,0,10.1.1.26,10.1.1.20,1,1
5.782030,10,10.1.1.12,10.1.1.17,0,1
5.782030,10,10.1.1.12,10.1.1.17,1,1
5.782030,5,10.1.1.12,10.1.1.17,0,1
5.782030,16,10.1.1.12,10.1.1.17,0,1
5.782030,17,10.1.1.12,10.1.1.17,0,1
5.782030,4,10.1.1.12,10.1.1.17,0,1
5.782030,4,10.1.1.12,10.1.1.17,1,1
5.782030,23,10.1.1.12,10.1.1.17,0,1
5.782030,3,10.1.1.12,10.1.1.17,0,1
5.782031,29,10.1.1.12,10.1.1.17,0,1
5.784246,3,10.1.1.16,10.1.1.14,1,1
5.784246,8,10.1.1.16,10.1.1.14,1,1
5.784246,9,10.1.1.16,10.1.1.14,1,1
5.784246,1,10.1.1.16,10.1.1.14,1,1
5.784246,4,10.1.1.16,10.1.1.14,1,1
5.784246,7,10.1.1.16,10.1.1.14,1,1
5.784246,14,10.1.1.16,10.1.1.14,1,1
5.784246,10,10.1.1.16,10.1.1.14,1,1
5.784246,6,10.1.1.16,10.1.1.14,1,1
5.784247,0,10.1.1.16,10.1.1.14,1,1
5.784247,15,10.1.1.16,10.1.1.14,1,1
5.784247,16,10.1.1.16,10.1.1.14,1,1
5.784247,5,10.1.1.16,10.1.1.14,1,1
5.784247,13,10.1.1.16,10.1.1.14,1,1
5.784247,11,10.1.1.16,10.1.1.14,1,1
5.784247,12,10.1.1.16,10.1.1.14,1,1
5.784247,21,10.1.1.16,10.1.1.14,1,1
5.784247,20,10.1.1.16,10.1.1.14,1,1
5.784247,22,10.1.1.16,10.1.1.14,1,1
5.784247,19,10.1.1.16,10.1.1.14,1,1
5.784247,17,10.1.1.16,10.1.1.14,1,1
5.784247,18,10.1.1.16,10.1.1.14,1,1
5.785030,3,10.1.1.12,10.1.1.17,1,1
5.786132,3,10.1.1.12,10.1.1.29,2,1
5.786132,8,10.1.1.12,10.1.1.29,2,1
5.786132,9,10.1.1.12,10.1.1.29,2,1
5.786132,1,10.1.1.12,10.1.1.29,2,1
5.786133,4,10.1.1.12,10.1.1.29,2,1
5.786133,7,10.1.1.12,10.1.1.29,2,1
5.786133,10,10.1.1.12,10.1.1.29,2,1
5.786133,14,10.1.1.12,10.1.1.29,2,1
5.786133,6,10.1.1.12,10.1.1.29,2,1
5.786133,0,10.1.1.12,10.1.1.29,2,1
5.786133,15,10.1.1.12,10.1.1.29,2,1
5.786133,16,10.1.1.12,10.1.1.29,2,1
5.786133,5,10.1.1.12,10.1.1.29,2,1
5.786133,13,10.1.1.12,10.1.1.29,2,1
5.786133,11,10.1.1.12,10.1.1.29,2,1
5.786133,12,10.1.1.12,10.1.1.29,2,1
5.786133,21,10.1.1.12,10.1.1.29,2,1
5.786133,20,10.1.1.12,10.1.1.29,2,1
5.786133,22,10.1.1.12,10.1.1.29,2,1
5.786133,19,10.1.1.12,10.1.1.29,2,1
5.786133,17,10.1.1.12,10.1.1.29,2,1
5.786133,18,10.1.1.12,10.1.1.29,2,1
5.788357,2,10.1.1.12,10.1.1.17,1,1
5.788357,4,10.1.1.12,10.1.1.17,1,1
5.788357,10,10.1.1.12,10.1.1.17,1,1
5.788357,5,10.1.1.12,10.1.1.17,1,1
5.788357,1,10.1.1.12,10.1.1.17,1,1
5.788357,16,10.1.1.12,10.1.1.17,1,1
5.788357,11,10.1.1.12,10.1.1.17,1,1
5.788358,17,10.1.1.12,10.1.1.17,1,1
5.791031,29,10.1.1.12,10.1.1.17,1,1
5.792754,0,10.1.1.8,10.1.1.19,1,1
5.792754,6,10.1.1.8,10.1.1.19,1,1
5.792754,7,10.1.1.8,10.1.1.19,1,1
5.792755,12,10.1.1.8,10.1.1.19,1,1
5.792755,13,10.1.1.8,10.1.1.19,1,1
5.792755,18,10.1.1.8,10.1.1.19,1,1
5.794355,3,10.1.1.16,10.1.1.29,1,1
5.794355,8,10.1.1.16,10.1.1.29,1,1
5.794355,9,10.1.1.16,10.1.1.29,1,1
5.794355,1,10.1.1.16,10.1.1.29,1,1
5.794355,4,10.1.1.16,10.1.1.29,1,1
5.794355,7,10.1.1.16,10.1.1.29,1,1
5.794355,10,10.1.1.16,10.1.1.29,1,1
5.794355,14,10.1.1.16,10.1.1.29,1,1
5.794355,6,10.1.1.16,10.1.1.29,1,1
5.794355,0,10.1.1.16,10.1.1.29,1,1
5.794355,15,10.1.1.16,10.1.1.29,1,1
5.794355,16,10.1.1.16,10.1.1.29,1,1
5.794355,5,10.1.1.16,10.1.1.29,1,1
5.794355,13,10.1.1.16,10.1.1.29,1,1
5.794356,11,10.1.1.16,10.1.1.29,1,1
5.794356,12,10.1.1.16,10.1.1.29,1,1
5.794356,21,10.1.1.16,10.1.1.29,1,1
5.794356,20,10.1.1.16,10.1.1.29,1,1
5.794356,19,10.1.1.16,10.1.1.29,1,1
5.794356,18,10.1.1.16,10.1.1.29,1,1
5.795341,3,10.1.1.26,10.1.1.20,2,1
5.795341,8,10.1.1.26,10.1.1.20,2,1
5.795341,9,10.1.1.26,10.1.1.20,2,1
5.795341,1,10.1.1.26,10.1.1.20,2,1
5.795341,4,10.1.1.26,10.1.1.20,2,1
5.795341,7,10.1.1.26,10.1.1.20,2,1
5.795341,6,10.1.1.26,10.1.1.20,2,1
5.795341,0,10.1.1.26,10.1.1.20,2,1
5.795342,12,10.1.1.26,10.1.1.20,2,1
5.796567,3,10.1.1.26,10.1.1.29,2,1
5.796567,8,10.1.1.26,10.1.1.29,2,1
5.796567,9,10.1.1.26,10.1.1.29,2,1
5.796567,1,10.1.1.26,10.1.1.29,2,1
5.796567,4,10.1.1.26,10.1.1.29,2,1
5.796567,7,10.1.1.26,10.1.1.29,2,1
5.796567,10,10.1.1.26,10.1.1.29,2,1
5.796567,14,10.1.1.26,10.1.1.29,2,1
5.796567,6,10.1.1.26,10.1.1.29,2,1
5.796567,0,10.1.1.26,10.1.1.29,2,1
5.796567,15,10.1.1.26,10.1.1.29,2,1
5.796567,16,10.1.1.26,10.1.1.29,2,1
5.796567,5,10.1.1.26,10.1.1.29,2,1
5.796567,13,10.1.1.26,10.1.1.29,2,1
5.796568,11,10.1.1.26,10.1.1.29,2,1
5.796568,12,10.1.1.26,10.1.1.29,2,1
5.796568,21,10.1.1.26,10.1.1.29,2,1
5.796568,20,10.1.1.26,10.1.1.29,2,1
5.797793,1,10.1.1.3,10.1.1.28,0,1
5.797793,7,10.1.1.3,10.1.1.28,0,1
5.797793,6,10.1.1.3,10.1.1.28,0,1
5.797793,0,10.1.1.3,10.1.1.28,0,1
5.798357,2,10.1.1.12,10.1.1.17,2,1
5.798357,1,10.1.1.12,10.1.1.17,2,1
5.798793,7,10.1.1.3,10.1.1.28,1,1
5.799740,6,10.1.1.3,10.1.1.28,1,1
5.799740,13,10.1.1.3,10.1.1.28,1,1
5.799740,12,10.1.1.3,10.1.1.28,1,1
5.799740,1,10.1.1.3,10.1.1.28,1,1
5.799740,0,10.1.1.3,10.1.1.28,1,1
5.799740,18,10.1.1.3,10.1.1.28,1,1
5.799740,19,10.1.1.3,10.1.1.28,1,1
5.799740,25,10.1.1.3,10.1.1.28,1,1
5.799740,24,10.1.1.3,10.1.1.28,1,1
5.800740,18,10.1.1.3,10.1.1.28,2,1
5.801744,12,10.1.1.3,10.1.1.28,2,1
5.801744,24,10.1.1.3,10.1.1.28,2,1
5.801744,19,10.1.1.3,10.1.1.28,2,1
5.801744,13,10.1.1.3,10.1.1.28,2,1
5.801745,25,10.1.1.3,10.1.1.28,2,1
5.801745,7,10.1.1.3,10.1.1.28,2,1
5.801745,6,10.1.1.3,10.1.1.28,2,1
5.801745,26,10.1.1.3,10.1.1.28,2,1
5.801745,20,10.1.1.3,10.1.1.28,2,1
5.801745,20,10.1.1.3,10.1.1.28,3,1
5.801745,14,10.1.1.3,10.1.1.28,2,1
5.801745,0,10.1.1.3,10.1.1.28,2,1
5.801745,1,10.1.1.3,10.1.1.28,2,1
5.801745,27,10.1.1.3,10.1.1.28,2,1
5.801745,15,10.1.1.3,10.1.1.28,2,1
5.801745,21,10.1.1.3,10.1.1.28,2,1
5.803269,3,10.1.1.12,10.1.1.17,2,1
5.803269,8,10.1.1.12,10.1.1.17,2,1
5.803269,9,10.1.1.12,10.1.1.17,2,1
5.803269,1,10.1.1.12,10.1.1.17,2,1
5.803269,4,10.1.1.12,10.1.1.17,2,1
5.803269,7,10.1.1.12,10.1.1.17,2,1
5.803269,6,10.1.1.12,10.1.1.17,2,1
5.803269,0,10.1.1.12,10.1.1.17,2,1
5.803740,25,10.1.1.3,10.1.1.28,2,1
5.803740,24,10.1.1.3,10.1.1.28,2,1
5.804835,27,10.1.1.3,10.1.1.28,3,1
5.804835,19,10.1.1.3,10.1.1.28,3,1
5.804835,21,10.1.1.3,10.1.1.28,3,1
5.804835,14,10.1.1.3,10.1.1.28,3,1
5.804835,15,10.1.1.3,10.1.1.28,3,1
5.804835,26,10.1.1.3,10.1.1.28,3,1
5.804835,13,10.1.1.3,10.1.1.28,3,1
5.804835,25,10.1.1.3,10.1.1.28,3,1
5.804835,22,10.1.1.3,10.1.1.28,3,1
5.804835,9,10.1.1.3,10.1.1.28,3,1
5.804835,28,10.1.1.3,10.1.1.28,3,1
5.804835,24,10.1.1.3,10.1.1.28,3,1
5.804835,18,10.1.1.3,10.1.1.28,3,1
5.804835,8,10.1.1.3,10.1.1.28,3,1
5.804835,7,10.1.1.3,10.1.1.28,3,1
5.804835,16,10.1.1.3,10.1.1.28,3,1
5.804835,12,10.1.1.3,10.1.1.28,3,1
5.804835,10,10.1.1.3,10.1.1.28,3,1
5.804835,23,10.1.1.3,10.1.1.28,3,1
5.804835,29,10.1.1.3,10.1.1.28,3,1
5.804835,6,10.1.1.3,10.1.1.28,3,1
5.804835,17,10.1.1.3,10.1.1.28,3,1
5.804835,3,10.1.1.3,10.1.1.28,3,1
5.804836,2,10.1.1.3,10.1.1.28,3,1
5.804836,1,10.1.1.3,10.1.1.28,3,1
5.804836,11,10.1.1.3,10.1.1.28,3,1
5.804836,4,10.1.1.3,10.1.1.28,3,1
5.804836,0,10.1.1.3,10.1.1.28,3,1
5.805740,19,10.1.1.3,10.1.1.28,2,1
5.805793,6,10.1.1.3,10.1.1.28,1,1
5.806686,25,10.1.1.3,10.1.1.28,2,1
5.806686,13,10.1.1.3,10.1.1.28,2,1
5.806686,26,10.1.1.3,10.1.1.28,2,1
5.806686,18,10.1.1.3,10.1.1.28,2,1
5.806686,24,10.1.1.3,10.1.1.28,2,1
5.806686,12,10.1.1.3,10.1.1.28,2,1
5.806686,7,10.1.1.3,10.1.1.28,2,1
5.806687,6,10.1.1.3,10.1.1.28,2,1
5.806745,14,10.1.1.3,10.1.1.28,3,1
5.807633,7,10.1.1.3,10.1.1.28,1,1
5.807633,0,10.1.1.3,10.1.1.28,1,1
5.807633,12,10.1.1.3,10.1.1.28,1,1
5.807633,1,10.1.1.3,10.1.1.28,1,1
5.807633,13,10.1.1.3,10.1.1.28,1,1
5.807633,18,10.1.1.3,10.1.1.28,1,1
5.807633,8,10.1.1.3,10.1.1.28,1,1
5.807633,14,10.1.1.3,10.1.1.28,1,1
5.807633,2,10.1.1.3,10.1.1.28,1,1
5.807633,19,10.1.1.3,10.1.1.28,1,1
5.807634,9,10.1.1.3,10.1.1.28,1,1
5.807634,3,10.1.1.3,10.1.1.28,1,1
5.807634,24,10.1.1.3,10.1.1.28,1,1
5.807634,15,10.1.1.3,10.1.1.28,1,1
5.807634,10,10.1.1.3,10.1.1.28,1,1
5.807634,4,10.1.1.3,10.1.1.28,1,1
5.807740,12,10.1.1.3,10.1.1.28,2,1
5.807745,15,10.1.1.3,10.1.1.28,3,1
5.808691,21,10.1.1.3,10.1.1.28,3,1
5.808691,14,10.1.1.3,10.1.1.28,3,1
5.808691,22,10.1.1.3,10.1.1.28,3,1
5.808691,20,10.1.1.3,10.1.1.28,3,1
5.808691,9,10.1.1.3,10.1.1.28,3,1
5.808691,16,10.1.1.3,10.1.1.28,3,1
5.808691,10,10.1.1.3,10.1.1.28,3,1
5.808692,27,10.1.1.3,10.1.1.28,3,1
5.808692,8,10.1.1.3,10.1.1.28,3,1
5.808692,13,10.1.1.3,10.1.1.28,3,1
5.808692,28,10.1.1.3,10.1.1.28,3,1
5.808692,23,10.1.1.3,10.1.1.28,3,1
5.808692,19,10.1.1.3,10.1.1.28,3,1
5.808692,17,10.1.1.3,10.1.1.28,3,1
5.808692,3,10.1.1.3,10.1.1.28,3,1
5.808692,11,10.1.1.3,10.1.1.28,3,1
5.808692,26,10.1.1.3,10.1.1.28,3,1
5.808692,7,10.1.1.3,10.1.1.28,3,1
5.808692,4,10.1.1.3,10.1.1.28,3,1
5.808692,29,10.1.1.3,10.1.1.28,3,1
5.808692,2,10.1.1.3,10.1.1.28,3,1
5.808692,25,10.1.1.3,10.1.1.28,3,1
5.808692,12,10.1.1.3,10.1.1.28,3,1
5.808692,5,10.1.1.3,10.1.1.28,3,1
5.808692,18,10.1.1.3,10.1.1.28,3,1
5.808692,1,10.1.1.3,10.1.1.28,3,1
5.808692,6,10.1.1.3,10.1.1.28,3,1
5.808692,24,10.1.1.3,10.1.1.28,3,1
5.808692,0,10.1.1.3,10.1.1.28,3,1
5.808740,13,10.1.1.3,10.1.1.28,2,1
5.808745,26,10.1.1.3,10.1.1.28,3,1
5.809691,25,10.1.1.3,10.1.1.28,3,1
5.809691,27,10.1.1.3,10.1.1.28,3,1
5.809691,19,10.1.1.3,10.1.1.28,3,1
5.809691,24,10.1.1.3,10.1.1.28,3,1
5.809691,18,10.1.1.3,10.1.1.28,3,1
5.809745,21,10.1.1.3,10.1.1.28,3,1
5.810657,26,10.1.1.3,10.1.1.28,2,1
5.810657,19,10.1.1.3,10.1.1.28,2,1
5.810657,24,10.1.1.3,10.1.1.28,2,1
5.810657,20,10.1.1.3,10.1.1.28,2,1
5.810657,18,10.1.1.3,10.1.1.28,2,1
5.810657,27,10.1.1.3,10.1.1.28,2,1
5.810658,21,10.1.1.3,10.1.1.28,2,1
5.810658,22,10.1.1.3,10.1.1.28,2,1
5.810658,28,10.1.1.3,10.1.1.28,2,1
5.811604,19,10.1.1.3,10.1.1.28,2,1
